Year,GEO,Economic family type,Income concept,After-tax income quintile,Average income (Dollars),Share of income (Percent)
1992,Prince Edward Island,All family units,Market income,Third quintile,30200,15.1
1992,Prince Edward Island,All family units,Market income,Fourth quintile,52100,26
1992,Prince Edward Island,All family units,Market income,Highest quintile,96300,48.2
1992,Prince Edward Island,All family units,Total income,Total of quintiles,52800,100
1992,Prince Edward Island,All family units,Total income,Lowest quintile,14500,5.5
1992,Prince Edward Island,All family units,Total income,Second quintile,30500,11.6
1992,Prince Edward Island,All family units,Total income,Third quintile,45800,17.4
1992,Prince Edward Island,All family units,Total income,Fourth quintile,65300,24.7
1992,Prince Edward Island,All family units,Total income,Highest quintile,107800,40.9
1992,Prince Edward Island,All family units,After-tax income,Total of quintiles,44700,100
1992,Prince Edward Island,All family units,After-tax income,Lowest quintile,13900,6.2
1992,Prince Edward Island,All family units,After-tax income,Second quintile,28000,12.5
1992,Prince Edward Island,All family units,After-tax income,Third quintile,40200,18
1992,Prince Edward Island,All family units,After-tax income,Fourth quintile,55100,24.6
1992,Prince Edward Island,All family units,After-tax income,Highest quintile,86400,38.7
1992,Prince Edward Island,"Economic families, two persons or more",Market income,Total of quintiles,48900,100
1992,Prince Edward Island,"Economic families, two persons or more",Market income,Lowest quintile,11200,4.6
1992,Prince Edward Island,"Economic families, two persons or more",Market income,Second quintile,23600,9.7
1992,Prince Edward Island,"Economic families, two persons or more",Market income,Third quintile,41400,17
1992,Prince Edward Island,"Economic families, two persons or more",Market income,Fourth quintile,62400,25.5
1992,Prince Edward Island,"Economic families, two persons or more",Market income,Highest quintile,105600,43.2
1992,Prince Edward Island,"Economic families, two persons or more",Total income,Total of quintiles,63000,100
1992,Prince Edward Island,"Economic families, two persons or more",Total income,Lowest quintile,25300,8
1992,Prince Edward Island,"Economic families, two persons or more",Total income,Second quintile,40600,12.9
1992,Prince Edward Island,"Economic families, two persons or more",Total income,Third quintile,56500,17.9
1992,Prince Edward Island,"Economic families, two persons or more",Total income,Fourth quintile,75100,23.8
1992,Prince Edward Island,"Economic families, two persons or more",Total income,Highest quintile,117500,37.3
1992,Prince Edward Island,"Economic families, two persons or more",After-tax income,Total of quintiles,53200,100
1992,Prince Edward Island,"Economic families, two persons or more",After-tax income,Lowest quintile,24100,9.1
1992,Prince Edward Island,"Economic families, two persons or more",After-tax income,Second quintile,36700,13.8
1992,Prince Edward Island,"Economic families, two persons or more",After-tax income,Third quintile,48800,18.4
1992,Prince Edward Island,"Economic families, two persons or more",After-tax income,Fourth quintile,62800,23.6
1992,Prince Edward Island,"Economic families, two persons or more",After-tax income,Highest quintile,93300,35.1
1992,Prince Edward Island,Unattached individuals,Market income,Total of quintiles,16300,100
1992,Prince Edward Island,Unattached individuals,Market income,Lowest quintile,2700,3.3
1992,Prince Edward Island,Unattached individuals,Market income,Second quintile,4300,5.3
1992,Prince Edward Island,Unattached individuals,Market income,Third quintile,7800,9.5
1992,Prince Edward Island,Unattached individuals,Market income,Fourth quintile,22300,27.4
1992,Prince Edward Island,Unattached individuals,Market income,Highest quintile,44400,54.5
1992,Prince Edward Island,Unattached individuals,Total income,Total of quintiles,25400,100
1992,Prince Edward Island,Unattached individuals,Total income,Lowest quintile,7400,5.8
1992,Prince Edward Island,Unattached individuals,Total income,Second quintile,15200,12
1992,Prince Edward Island,Unattached individuals,Total income,Third quintile,19900,15.6
1992,Prince Edward Island,Unattached individuals,Total income,Fourth quintile,31800,25
1992,Prince Edward Island,Unattached individuals,Total income,Highest quintile,53000,41.6
1992,Prince Edward Island,Unattached individuals,After-tax income,Total of quintiles,22100,100
1992,Prince Edward Island,Unattached individuals,After-tax income,Lowest quintile,7300,6.6
1992,Prince Edward Island,Unattached individuals,After-tax income,Second quintile,14700,13.3
1992,Prince Edward Island,Unattached individuals,After-tax income,Third quintile,18500,16.7
1992,Prince Edward Island,Unattached individuals,After-tax income,Fourth quintile,27000,24.5
1992,Prince Edward Island,Unattached individuals,After-tax income,Highest quintile,43100,39
1992,Nova Scotia,All family units,Market income,Total of quintiles,44000,100
1992,Nova Scotia,All family units,Market income,Lowest quintile,4200,1.9
1992,Nova Scotia,All family units,Market income,Second quintile,14300,6.5
1992,Nova Scotia,All family units,Market income,Third quintile,34300,15.6
1992,Nova Scotia,All family units,Market income,Fourth quintile,59500,27
1992,Nova Scotia,All family units,Market income,Highest quintile,107800,49
1992,Nova Scotia,All family units,Total income,Total of quintiles,54700,100
1992,Nova Scotia,All family units,Total income,Lowest quintile,13400,4.9
1992,Nova Scotia,All family units,Total income,Second quintile,28100,10.3
1992,Nova Scotia,All family units,Total income,Third quintile,45800,16.8
1992,Nova Scotia,All family units,Total income,Fourth quintile,68500,25
1992,Nova Scotia,All family units,Total income,Highest quintile,117800,43
1992,Nova Scotia,All family units,After-tax income,Total of quintiles,45300,100
1992,Nova Scotia,All family units,After-tax income,Lowest quintile,13100,5.8
1992,Nova Scotia,All family units,After-tax income,Second quintile,25800,11.4
1992,Nova Scotia,All family units,After-tax income,Third quintile,39800,17.6
1992,Nova Scotia,All family units,After-tax income,Fourth quintile,56200,24.8
1992,Nova Scotia,All family units,After-tax income,Highest quintile,91500,40.4
1992,Nova Scotia,"Economic families, two persons or more",Market income,Total of quintiles,54600,100
1992,Nova Scotia,"Economic families, two persons or more",Market income,Lowest quintile,8200,3
1992,Nova Scotia,"Economic families, two persons or more",Market income,Second quintile,26500,9.7
1992,Nova Scotia,"Economic families, two persons or more",Market income,Third quintile,49100,18
1992,Nova Scotia,"Economic families, two persons or more",Market income,Fourth quintile,68100,25
1992,Nova Scotia,"Economic families, two persons or more",Market income,Highest quintile,120700,44.3
1992,Nova Scotia,"Economic families, two persons or more",Total income,Total of quintiles,66200,100
1992,Nova Scotia,"Economic families, two persons or more",Total income,Lowest quintile,22400,6.8
1992,Nova Scotia,"Economic families, two persons or more",Total income,Second quintile,40900,12.3
1992,Nova Scotia,"Economic families, two persons or more",Total income,Third quintile,58800,17.8
1992,Nova Scotia,"Economic families, two persons or more",Total income,Fourth quintile,78900,23.8
1992,Nova Scotia,"Economic families, two persons or more",Total income,Highest quintile,130000,39.3
1992,Nova Scotia,"Economic families, two persons or more",After-tax income,Total of quintiles,54500,100
1992,Nova Scotia,"Economic families, two persons or more",After-tax income,Lowest quintile,21700,8
1992,Nova Scotia,"Economic families, two persons or more",After-tax income,Second quintile,36600,13.4
1992,Nova Scotia,"Economic families, two persons or more",After-tax income,Third quintile,49500,18.2
1992,Nova Scotia,"Economic families, two persons or more",After-tax income,Fourth quintile,64700,23.8
1992,Nova Scotia,"Economic families, two persons or more",After-tax income,Highest quintile,99800,36.7
1992,Nova Scotia,Unattached individuals,Market income,Total of quintiles,17900,100
1992,Nova Scotia,Unattached individuals,Market income,Lowest quintile,3400,3.8
1992,Nova Scotia,Unattached individuals,Market income,Second quintile,4600,5.1
1992,Nova Scotia,Unattached individuals,Market income,Third quintile,6600,7.4
1992,Nova Scotia,Unattached individuals,Market income,Fourth quintile,21200,23.7
1992,Nova Scotia,Unattached individuals,Market income,Highest quintile,53800,60
1992,Nova Scotia,Unattached individuals,Total income,Total of quintiles,26400,100
1992,Nova Scotia,Unattached individuals,Total income,Lowest quintile,8400,6.4
1992,Nova Scotia,Unattached individuals,Total income,Second quintile,14800,11.3
1992,Nova Scotia,Unattached individuals,Total income,Third quintile,18800,14.3
1992,Nova Scotia,Unattached individuals,Total income,Fourth quintile,30500,23.2
1992,Nova Scotia,Unattached individuals,Total income,Highest quintile,59200,44.9
1992,Nova Scotia,Unattached individuals,After-tax income,Total of quintiles,22600,100
1992,Nova Scotia,Unattached individuals,After-tax income,Lowest quintile,8200,7.3
1992,Nova Scotia,Unattached individuals,After-tax income,Second quintile,14400,12.7
1992,Nova Scotia,Unattached individuals,After-tax income,Third quintile,17900,15.8
1992,Nova Scotia,Unattached individuals,After-tax income,Fourth quintile,26200,23.2
1992,Nova Scotia,Unattached individuals,After-tax income,Highest quintile,46300,41
1992,New Brunswick,All family units,Market income,Total of quintiles,41600,100
1992,New Brunswick,All family units,Market income,Lowest quintile,3800,1.8
1992,New Brunswick,All family units,Market income,Second quintile,13000,6.2
1992,New Brunswick,All family units,Market income,Third quintile,31800,15.3
1992,New Brunswick,All family units,Market income,Fourth quintile,55300,26.6
1992,New Brunswick,All family units,Market income,Highest quintile,103900,50
1992,New Brunswick,All family units,Total income,Total of quintiles,52600,100
1992,New Brunswick,All family units,Total income,Lowest quintile,13300,5.1
1992,New Brunswick,All family units,Total income,Second quintile,27000,10.3
1992,New Brunswick,All family units,Total income,Third quintile,44100,16.8
1992,New Brunswick,All family units,Total income,Fourth quintile,65600,25
1992,New Brunswick,All family units,Total income,Highest quintile,112700,42.9
1992,New Brunswick,All family units,After-tax income,Total of quintiles,44000,100
1992,New Brunswick,All family units,After-tax income,Lowest quintile,13000,5.9
1992,New Brunswick,All family units,After-tax income,Second quintile,25300,11.5
1992,New Brunswick,All family units,After-tax income,Third quintile,38600,17.5
1992,New Brunswick,All family units,After-tax income,Fourth quintile,54600,24.8
1992,New Brunswick,All family units,After-tax income,Highest quintile,88700,40.3
1992,New Brunswick,"Economic families, two persons or more",Market income,Total of quintiles,50700,100
1992,New Brunswick,"Economic families, two persons or more",Market income,Lowest quintile,6900,2.7
1992,New Brunswick,"Economic families, two persons or more",Market income,Second quintile,23500,9.3
